,pop,lg1 sd,lg2 sd,lg3 sd,lg4 sd,lg5 sd,lg6 sd,lg7 sd,lg8 sd,lg9 sd,lg10 sd,,
-26461,crs,0,0,0,0,0,0,0,0,0,0,,0
-25369,ucsd,0,0.036390054,0,0.029960856,0,0,0.006672981,0,0.011480793,0,,0.008450468
-23857,sdp,0.011725098,0.072901071,0,0.029928669,0,0.000497494,0,0,0.010025051,0.014391388,,0.013946877
-19135,mt,0.001300846,0,0,0,0,0.007215411,0.001295096,0.001865231,0.026145137,0,,0.003782172
-13303,jmc,0.025057089,0.027388741,0.012578082,0.025235565,0.088717788,0.031364577,0.033704245,0.012268251,0.00930507,0.035493529,,0.030111294
-12893,elf,0.009560072,0.062099761,0.032854531,0.039724791,0.003656743,0.035927249,0.011101678,0.001993497,0.022842415,0,,0.021976074
-12730,flp,0,0.005410269,0,0,0,0.050406064,0.022820383,0.009125969,0,0.014346791,,0.010210948
-12557,elt,0.015151386,0.016876646,0.032020567,0.019791456,0.004842549,0.007080718,0.019349465,0.003984372,0.021354089,0.007743213,,0.014819446
-12168,lh,0,0.050759667,0.043043107,0.025734144,0,0.000522092,0.013536406,0.004030528,0.012112395,0.009245368,,0.015898371
-8097,pmd,0,0.028894159,0,0.025870779,0,0,2.07E-05,0,0,0,,0.005478564
-4298,wm,0.221027467,0.26881648,0.221872405,0.230538705,0.226107125,0.244491949,0.280826247,0.245030162,0.238477764,0.223901019,,0.240108932
-3710,bs,0.186768851,0.23246563,0.123218389,0.158627763,0.157364323,0.116629886,0.160053121,0.13139214,0.235620297,0.18508783,,0.168722823
-2153,dlr,0.082910797,0.144303208,0.065199512,0.087514398,0.097627345,0.044866652,0.056462005,0.055422342,0.04809786,0.089046725,,0.077145084
-827,mw,0.190440091,0.294227524,0.192909501,0.209143029,0.212350799,0.184182456,0.227167203,0.186211385,0.203423191,0.210963423,,0.21110186
-363,oak,0.286656801,0.334304303,0.301171948,0.269696341,0.27462397,0.26101267,0.246519692,0.271733273,0.372014448,0.315182255,,0.29329157
1177,lkw,0.193170165,0.226593161,0.196838799,0.195797806,0.191165187,0.194943642,0.198549804,0.193486468,0.189969187,0.194271928,,0.197478615
2891,dlz,0.270799368,0.264419335,0.294308038,0.320648524,0.283188012,0.324260499,0.3520676,0.321527576,0.292609391,0.308326366,,0.303215471
8277,wcr,0.067312442,0.013159383,0.069557081,0.091736853,0.05194401,0.07792662,0.106044432,0.058182618,0.078492589,0.061368752,,0.067572478
9643,and,0.001194433,0.025700144,0.032238883,0,0.03764503,0.036047129,0.026178797,0.022454967,0.017840096,0,,0.019929948
10311,bc,0.054860437,0.045701307,0.071782962,0.051646204,0.052837351,0.089196073,0.062738168,0.087717458,0.064864227,0.080900159,,0.066224435
18064,potr,0.080770913,0.032732684,0.086993267,0.036509936,0.054706491,0.064160081,0.021962581,0.042869836,0.077444461,0.05904118,,0.055719143
22509,inj,0.017347105,0,0.010728746,0,0.004001144,0,0,0,0,0.013814266,,0.004589126
22615,bcrd,0,0,0,0,0,0.008868246,0,0,0.006787212,0,,0.001565546
32097,pct,0,0.044065142,0,0,0,0,0,0,0,0,,0.004406514
45224,lo,0,0,0,0,0,0,0,0,0,0,,0
