pop	lg1 mean	lg2 mean	lg3 mean	lg4 mean	lg5 mean	lg6 mean	lg7 mean	lg8 mean	lg9 mean	lg10 mean		average
crs	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999	0.99999		0.99999
ucsd	0.99999	0.988482455	0.99999	0.990515545	0.99999	0.99999	0.997879818	0.99999	0.996359455	0.99999		0.997317727
sdp	0.99645475	0.9780095	0.99999	0.990966167	0.99999	0.99984	0.99999	0.99999	0.996967333	0.995650833		0.995784858
mt	0.999578636	0.99999	0.99999	0.99999	0.99999	0.996308091	0.999580455	0.999252909	0.991722182	0.99999		0.998639227
jmc	0.993074765	0.989933471	0.995937706	0.982634294	0.976948941	0.979442882	0.968798647	0.994943941	0.995117235	0.976932118		0.9853764
elf	0.995760545	0.923250818	0.966317636	0.966681182	0.998833636	0.984709091	0.992498545	0.999161182	0.986772909	0.99999		0.981397554
flp	0.99999	0.997498833	0.99999	0.99999	0.99999	0.984792	0.987141167	0.997238417	0.99999	0.994385083		0.99610055
elt	0.99366375	0.994574667	0.985834917	0.993773333	0.998529917	0.997855083	0.994155917	0.998788667	0.9935515	0.997655333		0.994838308
lh	0.99999	0.958102917	0.97091025	0.987847417	0.99999	0.999832583	0.993875083	0.99877475	0.994967917	0.997202417		0.990149333
pmd	0.99999	0.991278083	0.99999	0.992189667	0.99999	0.99999	0.99998375	0.99999	0.99999	0.99999		0.99833815
wm	0.820711941	0.784634765	0.884887706	0.822489059	0.784698529	0.830226706	0.789206412	0.880548647	0.845955176	0.844627294		0.828798624
bs	0.874728944	0.827383167	0.902454944	0.909684111	0.944523167	0.937082056	0.903957944	0.827888111	0.710683222	0.840095389		0.867848106
dlr	0.879087444	0.656005556	0.870763222	0.891458444	0.880125222	0.952846222	0.896553778	0.860708333	0.870203889	0.884905222		0.864265733
mw	0.605917	0.564995118	0.563539588	0.538271471	0.594686	0.741138235	0.631199471	0.737941706	0.516123	0.653232824		0.614704441
oak	0.65827	0.560601333	0.730701583	0.72056	0.69259675	0.633686833	0.513147583	0.617235083	0.486512417	0.62917975		0.624249133
lkw	0.381449867	0.2286156	0.4170892	0.380451933	0.390846133	0.491196733	0.513171533	0.448874	0.431199733	0.409655867		0.40925506
dlz	0.53545	0.446867	0.49961575	0.44755875	0.51271475	0.44049	0.39294625	0.444025	0.49494475	0.46753925		0.46821515
wcr	0.034443417	0.006694	0.033475167	0.041740917	0.04789625	0.083025583	0.05696675	0.07993875	0.080409417	0.048832417		0.051342267
and	0.000544167	0.027277	0.014427667	1.00E-05	0.0519585	0.066338	0.024626	0.010052167	0.012619333	1.00E-05		0.020786283
bc	0.170738538	0.09189	0.198645462	0.145151769	0.243015615	0.212754154	0.195727615	0.215772615	0.240832154	0.174891308		0.188941923
potr	0.0495358	0.0170786	0.0424063	0.0155861	0.0256296	0.023877	0.0120237	0.0436755	0.0771549	0.0235489		0.03305164
inj	0.005495636	1.00E-05	0.003402727	1.00E-05	0.001275273	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.004378455		0.001461209
bcrd	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.003976	1.00E-05	1.00E-05	0.003045333	1.00E-05		0.000710133
pct	1.00E-05	0.024456833	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05		0.002454683
lo	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05		0.00001
